text,text_lower,label
PEF,pef,ORG
La reforma a la Ley Orgánica de la Administración Pública Federal,la reforma a la ley orgánica de la administración pública federal,MISC
DOF,dof,MISC
El objetivo de esta medida,el objetivo de esta medida,MISC
Secretaría de Hacienda,secretaría de hacienda,MISC
Crédito público,crédito público,ORG
SHCP,shcp,MISC
Manual de los Servidores Públicos de las Dependencias y Entidades de la Administración Pública Federal,manual de los servidores públicos de las dependencias y entidades de la administración pública federal,MISC
Tabulador de Sueldos,tabulador de sueldos,MISC
Salarios Brutos,salarios brutos,ORG
Presidente de la República,presidente de la república,MISC
APF,apf,ORG
En éste,en éste,MISC
SALARIAL,salarial,MISC
NIVEL DE PUESTO,nivel de puesto,PER
LA ADMINISTRACIÓN PÚBLICA FEDERAL,la administración pública federal,ORG
Cambio porcentual) Nivel de Puesto Reducción,cambio porcentual) nivel de puesto reducción,ORG
Presidente de la República,presidente de la república,MISC
Secretarios de Estado,secretarios de estado,MISC
Subsecretarios,subsecretarios,ORG
Jefes de Unidad,jefes de unidad,ORG
"Por eso, el gobierno","por eso, el gobierno",MISC
PEF 2019,pef 2019,MISC
En total,en total,MISC
Gobierno Federal,gobierno federal,LOC
Al 30 de juniose,al 30 de juniose,LOC
Cabe,cabe,MISC
Adicionalmente,adicionalmente,MISC
Poder Ejecutivo,poder ejecutivo,MISC
Ley de Austeridad Republicana de Estado,ley de austeridad republicana de estado,MISC
Cámara de Diputados,cámara de diputados,ORG
Senado de la República,senado de la república,ORG
La propuesta está,la propuesta está,MISC
El proyecto de ley,el proyecto de ley,MISC
"Para ello, se establece un","para ello, se establece un",MISC
Comité de Evaluación,comité de evaluación,ORG
Además,además,MISC
Estado,estado,LOC
Órganos Internos de Control,órganos internos de control,ORG
Unidades de Medida y Actualización,unidades de medida y actualización,ORG
Las consultorías sólo,las consultorías sólo,MISC
A partir de la entrada,a partir de la entrada,MISC
Adicionalmente,adicionalmente,MISC
Presupuesto de Egresos de la Federación,presupuesto de egresos de la federación,MISC
El proyecto de ley,el proyecto de ley,MISC
Administración Pública Federal,administración pública federal,ORG
Se aclara que las unidades,se aclara que las unidades,MISC
También,también,MISC
Administración Pública,administración pública,ORG
Sólo,sólo,LOC
Estado,estado,LOC
Se prohíben las plazas con nivel de Dirección General Adjunta,se prohíben las plazas con nivel de dirección general adjunta,MISC
CIUDADANIZAR EL COMBATE A LA CORRUPCIÓN Y A LA IMPUNIDAD,ciudadanizar el combate a la corrupción y a la impunidad,MISC
Entre las actividades realizadas,entre las actividades realizadas,MISC
Mediante éste,mediante éste,MISC
Se implementó un modelo,se implementó un modelo,MISC
Hasta el 30 de julio de 2019,hasta el 30 de julio de 2019,MISC
Se creó un nuevo mecanismo,se creó un nuevo mecanismo,MISC
Esto con el objetivo,esto con el objetivo,MISC
La Contraloría Social,la contraloría social,ORG
Esto con el objetivo,esto con el objetivo,MISC
Se validaron las estrategias de Contraloría Social,se validaron las estrategias de contraloría social,MISC
Esquema,esquema,MISC
Guía Operativa,guía operativa,MISC
Programa Anual de Trabajo de Contraloría Social,programa anual de trabajo de contraloría social,ORG
Sistema Informático,sistema informático,ORG
Contraloría Social,contraloría social,ORG
Comités de Contraloría Social,comités de contraloría social,ORG
Programa Anual,programa anual,ORG
Órganos de Control Estatal,órganos de control estatal,ORG
Éste,éste,ORG
Ciudad de México,ciudad de méxico,LOC
Órganos de Control Estatal,órganos de control estatal,ORG
Se efectuaron 14 talleres de capacitación,se efectuaron 14 talleres de capacitación,MISC
Contraloría Social.,contraloría social.,ORG
PROFESIONAL,profesional,ORG
PERSPECTIVA,perspectiva,ORG
GÉNERO Respecto,género respecto,MISC
Servicio Profesional de Carrera,servicio profesional de carrera,ORG
SPC,spc,ORG
En materia de ingreso a la APF,en materia de ingreso a la apf,MISC
Metodología para la valoración de la Capacidad Comprobada,metodología para la valoración de la capacidad comprobada,MISC
Administración Pública FederalÓ,administración pública federaló,ORG
Gobierno Federal,gobierno federal,LOC
Asimismo,asimismo,LOC
Registro de Servidores Públicos del Gobierno Federal,registro de servidores públicos del gobierno federal,MISC
Entre los primeros hallazgos,entre los primeros hallazgos,MISC
Gobierno Federal,gobierno federal,LOC
SPC,spc,LOC
SPC,spc,ORG
Con ese propósito,con ese propósito,MISC
Directrices para la Investigación,directrices para la investigación,MISC
Perspectiva de Género y Debida Diligencia de los Casos Relacionados con la Vulneración a los Derechos Humanos de las Mujeres Embarazadas,perspectiva de género y debida diligencia de los casos relacionados con la vulneración a los derechos humanos de las mujeres embarazadas,ORG
OIC,oic,ORG
El 7 de marzo,el 7 de marzo,MISC
Conmemoración del Día Internacional de la Mujer,conmemoración del día internacional de la mujer,MISC
Proyecto de Profesionalización,proyecto de profesionalización,MISC
Servicio Público con Igualdad de Género,servicio público con igualdad de género,ORG
OIC,oic,ORG
Además,además,LOC
Un ejemplo de esto,un ejemplo de esto,MISC
Protocolo para la prevención,protocolo para la prevención,MISC
PROFESIONAL,profesional,MISC
GÉNERO Y,género y,ORG
NIVEL DE PUESTO,nivel de puesto,MISC
Número,número,LOC
Nivel de PuestoTotal Hombre Mujer Nominal % Nominal% Total,nivel de puestototal hombre mujer nominal % nominal% total,LOC
General Adjunta,general adjunta,LOC
Área,área,LOC
Área,área,LOC
Departamento,departamento,LOC
Cifras,cifras,LOC
FUENTE,fuente,ORG
Función Pública,función pública,ORG
En materia de capacitación,en materia de capacitación,MISC
RHnet,rhnet,MISC
SII@WEB,sii@web,MISC
Subsistema Capacitación,subsistema capacitación,MISC
Certificación,certificación,LOC
Derechos Humanos,derechos humanos,ORG
"De estos, 334","de estos, 334",MISC
SPC,spc,ORG
Servicio Profesional de Carrera,servicio profesional de carrera,ORG
SPC,spc,ORG
Derechos Humanos,derechos humanos,ORG
De estos,de estos,MISC
SPC,spc,LOC
SPC,spc,ORG
Se llevaron a cabo 315,se llevaron a cabo 315,MISC
"De estos, 2,030","de estos, 2,030",MISC
SPC,spc,ORG
SPC,spc,ORG
"De estos, 141","de estos, 141",MISC
SPC,spc,ORG
SPC,spc,ORG
Instituciones de la APF,instituciones de la apf,ORG
Educa de la Comisión Nacional de Derechos Humanos,educa de la comisión nacional de derechos humanos,MISC
CNDH,cndh,MISC
PuntogéneroÓ,puntogéneroó,MISC
INMUJERES,inmujeres,MISC
El 27 de junio de 2019,el 27 de junio de 2019,MISC
Seminario Franco,seminario franco,LOC
Mexicano,mexicano,LOC
Deontología y Transparencia al Servicio de Interés GeneralÓ,deontología y transparencia al servicio de interés generaló,MISC
Secretaría de la Función Pública,secretaría de la función pública,MISC
Embajada de Francia,embajada de francia,LOC
México,méxico,LOC
Éste,éste,LOC
COMPILACIÓN,compilación,LOC
PROGRAMAS ACADÉMICOS,programas académicos,MISC
El micrositio,el micrositio,MISC
Capacitación,capacitación,MISC
Formación,formación,ORG
", 3) Formación para Alta Dirección",", 3) formación para alta dirección",LOC
", 4) Difusión",", 4) difusión",LOC
Servicio Profesional de Carrera,servicio profesional de carrera,ORG
Se pretende que el portal,se pretende que el portal,MISC
Servicio Profesional de Carrera,servicio profesional de carrera,ORG
REACTIVACIÓN DE CONVENIOS,reactivación de convenios,PER
La oferta disponible,la oferta disponible,MISC
Esto con el objetivo,esto con el objetivo,MISC
SPC,spc,ORG
De,de,MISC
Universidad Nacional Autónoma de México,universidad nacional autónoma de méxico,ORG
Universidad Abierta,universidad abierta,ORG
Distancia de México,distancia de méxico,LOC
Instituto Nacional de las Mujeres,instituto nacional de las mujeres,ORG
INMUJERES,inmujeres,ORG
CNDH,cndh,MISC
Memorándums de Entendimiento,memorándums de entendimiento,LOC
Oficina de las Naciones Unidas contra la Droga y el Delito,oficina de las naciones unidas contra la droga y el delito,ORG
UNODC,unodc,ORG
Embajadas de Francia,embajadas de francia,ORG
Chile,chile,LOC
LAS TECNOLOGÍAS,las tecnologías,MISC
Se ha avanzado en un sistema,se ha avanzado en un sistema,MISC
En las obras públicas más relevantes,en las obras públicas más relevantes,MISC
Como parte de este ejercicio de transparencia,como parte de este ejercicio de transparencia,MISC
Nómina Transparente,nómina transparente,ORG
Ley de Seguridad Nacional,ley de seguridad nacional,MISC
Hasta su lanzamiento,hasta su lanzamiento,MISC
Desde entonces,desde entonces,MISC
En el marco del Sistema Nacional Anticorrupción,en el marco del sistema nacional anticorrupción,MISC
Gobierno de México,gobierno de méxico,MISC
Esta propuesta fue aprobada,esta propuesta fue aprobada,MISC
Tercera Sesión Ordinaria 2019,tercera sesión ordinaria 2019,MISC
Comité Coordinador,comité coordinador,ORG
Otro paso hacia la democratización,otro paso hacia la democratización,MISC
SFP,sfp,ORG
GlobaLeaks,globaleaks,ORG
Ciudadanos Alertadores Internos,ciudadanos alertadores internos,ORG
Externos de la Corrupción,externos de la corrupción,LOC
Estamos,estamos,LOC
PROTEGER LA DENUNCIA Y A LOS ALERTADORES INTERNOS,proteger la denuncia y a los alertadores internos,ORG
Programa Piloto de Protección,programa piloto de protección,ORG
Ciudadanos Alertadores Internos,ciudadanos alertadores internos,ORG
Externos de la Corrupción,externos de la corrupción,LOC
Gobierno Federal,gobierno federal,LOC
La idea central,la idea central,MISC
Se asegura la confidencialidad,se asegura la confidencialidad,MISC
Con tecnologías de software libre,con tecnologías de software libre,MISC
GlobaLeaks—,globaleaks—,MISC
Se elaboró el Acuerdo,se elaboró el acuerdo,MISC
Lineamientos para la promoción,lineamientos para la promoción,MISC
Sistema de Ciudadanos Alertadores Internos y Externos de la Corrupción,sistema de ciudadanos alertadores internos y externos de la corrupción,ORG
Se diseñó un programa,se diseñó un programa,MISC
El programa establece un protocolo,el programa establece un protocolo,MISC
Con este programa México,con este programa méxico,MISC
Convención Interamericana Contra la Corrupción,convención interamericana contra la corrupción,MISC
Convención de las Naciones Unidas Contra la Corrupción,convención de las naciones unidas contra la corrupción,MISC
Protocolo,protocolo,MISC
Tratado de Libre Comercio de América del Norte,tratado de libre comercio de américa del norte,MISC
Tratado entre los Estados Unidos Mexicanos,tratado entre los estados unidos mexicanos,MISC
Para avanzar en este programa,para avanzar en este programa,MISC
Memorándum de Entendimiento,memorándum de entendimiento,MISC
Oficina de Enlace,oficina de enlace,ORG
Partenariado en México,partenariado en méxico,ORG
Oficina de las Naciones Unidas contra la Droga y el Delito,oficina de las naciones unidas contra la droga y el delito,ORG
Ciudadanizar el Combate a la Corrupción,ciudadanizar el combate a la corrupción,LOC
Servicio Profesional de Carrera,servicio profesional de carrera,ORG
; 4) Democratizar las Tecnologías,; 4) democratizar las tecnologías,LOC
", 5) Proteger",", 5) proteger",LOC
México,méxico,LOC
Alianza para el Gobierno Abierto,alianza para el gobierno abierto,ORG
En conjunto con las organizaciones de la sociedad civil,en conjunto con las organizaciones de la sociedad civil,MISC
México,méxico,LOC
Plan de Acción,plan de acción,MISC
La fecha programada de,la fecha programada de,MISC
ASPECTOS RELEVANTES,aspectos relevantes,MISC
TEMA ERRADICAR LA CORRUPCIÓN,tema erradicar la corrupción,MISC
DISPENDIO,dispendio,ORG
En contraste,en contraste,MISC
ASPECTOS RELEVANTES,aspectos relevantes,MISC
TEMA ERRADICAR LA CORRUPCIÓN,tema erradicar la corrupción,MISC
DISPENDIO,dispendio,ORG
FRIVOLIDAD,frivolidad,ORG
Presidente,presidente,MISC
Pensión,pensión,PER
Se suprimió del Presupuesto de Egresos de la Federación,se suprimió del presupuesto de egresos de la federación,MISC
Ejecutivo Federal,ejecutivo federal,LOC
Estado Mayor Presidencial,estado mayor presidencial,LOC
Estado Mayor Presidencial,estado mayor presidencial,LOC
Los 8,los 8,MISC
Presidente de la República,presidente de la república,MISC
Institutos Armados,institutos armados,LOC
Guardia Nacional,guardia nacional,ORG
Al Presidente de México,al presidente de méxico,ORG
Se elimina ProMéxico,se elimina proméxico,MISC
Mediante Decreto,mediante decreto,MISC
Diario Oficial de la Federación,diario oficial de la federación,MISC
DOF,dof,MISC
Fideicomiso Público considerado Entidad Paraestatal ProMéxico,fideicomiso público considerado entidad paraestatal proméxico,ORG
A,a,MISC
Inversión Extranjera Directa,inversión extranjera directa,ORG
Fideicomiso,fideicomiso,MISC
Secretaría de Economía,secretaría de economía,ORG
Secretaría de Relaciones Exteriores,secretaría de relaciones exteriores,LOC
DOF,dof,MISC
Ley General de Turismo,ley general de turismo,MISC
Se desincorporó el Consejo de Promoción Turística de México,se desincorporó el consejo de promoción turística de méxico,MISC
S.A. de C.V.,s.a. de c.v.,PER
Desde la perspectiva de la austeridad,desde la perspectiva de la austeridad,MISC
Secretaría de Relaciones Exteriores,secretaría de relaciones exteriores,MISC
ASPECTOS RELEVANTES,aspectos relevantes,MISC
TEMA ERRADICAR LA CORRUPCIÓN,tema erradicar la corrupción,MISC
DISPENDIO,dispendio,ORG
FRIVOLIDAD,frivolidad,ORG
Secretaria de Turismo,secretaria de turismo,ORG
Ferias Internacionales y Tianguis Turístico,ferias internacionales y tianguis turístico,ORG
Los apoyos se entregarán,los apoyos se entregarán,MISC
Gobierno de México,gobierno de méxico,LOC
Tarjetas para el Bienestar,tarjetas para el bienestar,ORG
Enajenación de Bienes A,enajenación de bienes a,PER
Servicio de Administración,servicio de administración,ORG
Enajenación de Bienes,enajenación de bienes,PER
Instituto para la Administración de Bienes y Activos,instituto para la administración de bienes y activos,ORG
Complejo Cultural Los Pinos,complejo cultural los pinos,LOC
Metlatónoc,metlatónoc,LOC
Cochoapa El Grande,cochoapa el grande,LOC
La Montaña,la montaña,LOC
estado de Guerrero,estado de guerrero,LOC
El 19 de julio,el 19 de julio,MISC
Subasta de bienes muebles,subasta de bienes muebles,MISC
Complejo Cultural Los Pinos,complejo cultural los pinos,LOC
Estado Mayor Presidencial,estado mayor presidencial,LOC
RELEVANTES,relevantes,ORG
TEMA ERRADICAR LA CORRUPCIÓN,tema erradicar la corrupción,MISC
DISPENDIO,dispendio,ORG
FRIVOLIDAD,frivolidad,ORG
Adicionalmente,adicionalmente,LOC
Fiscalía General de la República,fiscalía general de la república,ORG
El 17 de junio,el 17 de junio,MISC
Santa María Zaniza,santa maría zaniza,LOC
Santos Reyes Yucuná,santos reyes yucuná,PER
estado de Oaxaca,estado de oaxaca,LOC
El 28 de julio en el Complejo Cultural Los Pinos,el 28 de julio en el complejo cultural los pinos,MISC
Servicio de Administración Tributaria,servicio de administración tributaria,ORG
Secretaría de la Función Pública,secretaría de la función pública,MISC
Adicionalmente,adicionalmente,LOC
Coalcomán,coalcomán,LOC
Michoacán,michoacán,LOC
Venta de aeronaves,venta de aeronaves,MISC
Desde febrero de 2019,desde febrero de 2019,MISC
Banco Nacional de Obras y Servicios Públicos,banco nacional de obras y servicios públicos,LOC
Al respecto,al respecto,MISC
Acuerdos Específicos,acuerdos específicos,MISC
Oficina de las Naciones Unidas de Servicios para Proyectos.,oficina de las naciones unidas de servicios para proyectos.,ORG
Creación del,creación del,MISC
Instituto para la Administración de Bienes y Activos El Honorable Congreso de la Unión,instituto para la administración de bienes y activos el honorable congreso de la unión,ORG
Gobierno Federal,gobierno federal,LOC
Adicionalmente,adicionalmente,LOC
RELEVANTES,relevantes,MISC
ERRADICAR LA CORRUPCIÓN,erradicar la corrupción,MISC
DISPENDIO,dispendio,ORG
FRIVOLIDAD,frivolidad,ORG
Entre dichas iniciativas,entre dichas iniciativas,MISC
Expedición de la Ley Nacional de Extinción de Dominio,expedición de la ley nacional de extinción de dominio,MISC
Ley Federal para la Administración,ley federal para la administración,LOC
Enajenación de Bienes del Sector Público,enajenación de bienes del sector público,PER
Instituto,instituto,ORG
Código Nacional de Procedimientos Penales,código nacional de procedimientos penales,MISC
Ley de Concursos Mercantiles,ley de concursos mercantiles,MISC
Ley Orgánica de la Administración Pública Federal,ley orgánica de la administración pública federal,PER
Gabinete Social de la Presidencia de la República,gabinete social de la presidencia de la república,ORG
El proceso legislativo de,el proceso legislativo de,MISC
Pleno de la Cámara de Senadores,pleno de la cámara de senadores,MISC
Pleno de la Cámara de Diputados,pleno de la cámara de diputados,LOC
El 9 de agosto de 2019,el 9 de agosto de 2019,MISC
Decreto,decreto,MISC
Diario Oficial de la Federación,diario oficial de la federación,MISC
Se firmó,se firmó,MISC
ONU,onu,ORG
Palacio Nacional el Acuerdo Marco,palacio nacional el acuerdo marco,LOC
Gobierno de México,gobierno de méxico,LOC
Oficina de las Naciones Unidas de Servicios para Proyectos,oficina de las naciones unidas de servicios para proyectos,ORG
UNOPS,unops,LOC
Su propósito,su propósito,MISC
Gobierno de México,gobierno de méxico,MISC
La asistencia técnica,la asistencia técnica,MISC
México,méxico,LOC
RELEVANTES,relevantes,MISC
TEMA ERRADICAR LA CORRUPCIÓN,tema erradicar la corrupción,MISC
DISPENDIO,dispendio,ORG
Los Pinos,los pinos,LOC
Complejo Cultural Los Pinos,complejo cultural los pinos,LOC
México,méxico,LOC
Actualmente,actualmente,LOC
Este espacio,este espacio,MISC
Secretaría de Cultura,secretaría de cultura,MISC
FUENTE,fuente,ORG
Dependencias,dependencias,ORG
Administración Pública Federal,administración pública federal,ORG
IMPLEMENTACIÓN,implementación,MISC
UN SISTEMA,un sistema,ORG
CONTRATACIONES CONSOLIDADAS,contrataciones consolidadas,MISC
Ley Orgánica de la Administración Pública Federal,ley orgánica de la administración pública federal,MISC
Oficialía Mayor,oficialía mayor,LOC
SHCP,shcp,LOC
Estos objetivos permiten,estos objetivos permiten,MISC
De acuerdo con la,de acuerdo con la,MISC
OCDE,ocde,ORG
Este modelo,este modelo,MISC
Suecia,suecia,LOC
España,españa,LOC
Irlanda,irlanda,LOC
En este sentido,en este sentido,MISC
LAS PRIMERAS CONSOLIDACIONES,las primeras consolidaciones,MISC
Con objeto de dar inicio,con objeto de dar inicio,MISC
Administración Pública Federal,administración pública federal,ORG
Medicamentos,medicamentos,LOC
Arrendamiento,arrendamiento,LOC
Arrendamiento,arrendamiento,LOC
Combustibles,combustibles,LOC
Limpieza,limpieza,LOC
Servicio de vigilancia,servicio de vigilancia,MISC
Material y útiles de oficina,material y útiles de oficina,MISC
Adicionalmente,adicionalmente,LOC
Sembrando VidaÓ,sembrando vidaó,MISC
Tren Maya,tren maya,MISC
OECD Survey on Public Procurement,oecd survey on public procurement,MISC
OECD,oecd,ORG
AVANCES,avances,ORG
ESTABLECIMIENTO,establecimiento,MISC
SISTEMA DE CONTRATACIONES CONSOLIDADAS,sistema de contrataciones consolidadas,LOC
PÚBLICO Rubro,público rubro,ORG
Situación,situación,ORG
Arrendamiento,arrendamiento,MISC
Licitación,licitación,LOC
Publicación de Convocatoria: 13/08/2019 Inicio,publicación de convocatoria: 13/08/2019 inicio,MISC
Vigencia,vigencia,MISC
Arrendamiento,arrendamiento,MISC
Publicación de Convocatoria: 20/08/2019 Inicio,publicación de convocatoria: 20/08/2019 inicio,MISC
Vigencia,vigencia,MISC
Publicación de Convocatoria: 29/07/2019 Fecha,publicación de convocatoria: 29/07/2019 fecha,MISC
Fallo: 23/08/2019 Vigencia,fallo: 23/08/2019 vigencia,MISC
Vigencia,vigencia,MISC
31/12/2020 Limpieza,31/12/2020 limpieza,LOC
Contrato Marco Suscripción,contrato marco suscripción,MISC
Jardinería,jardinería,LOC
Fumigación,fumigación,LOC
Vigencia al 31/12/2020 Material,vigencia al 31/12/2020 material,MISC
Contrato Marco Suscripción,contrato marco suscripción,MISC
AVANCES,avances,ORG
EL ESTABLECIMIENTO,el establecimiento,MISC
SISTEMA DE CONTRATACIONES CONSOLIDADAS,sistema de contrataciones consolidadas,LOC
PÚBLICO Rubro,público rubro,ORG
Situación,situación,ORG
Vida Contrato Marco Suscripción,vida contrato marco suscripción,MISC
Servicio de Transporte,servicio de transporte,ORG
CFE,cfe,ORG
PEMEX,pemex,ORG
Fuente,fuente,LOC
Oficialía Mayor,oficialía mayor,LOC
Secretaría de Hacienda,secretaría de hacienda,MISC
Crédito Público,crédito público,ORG
En las adquisiciones,en las adquisiciones,MISC
Estado.,estado.,LOC
CURACIÓN,curación,MISC
SEGUNDO SEMESTRE,segundo semestre,MISC
Seguro Popular,seguro popular,MISC
Adicionalmente,adicionalmente,LOC
Instituto Mexicano del Seguro Social,instituto mexicano del seguro social,ORG
Instituto de Seguridad y Servicios Sociales de los Trabajadores del Estado,instituto de seguridad y servicios sociales de los trabajadores del estado,ORG
Secretaría de Marina,secretaría de marina,LOC
Petróleos Mexicano,petróleos mexicano,PER
Si bien ya cuentan,si bien ya cuentan,MISC
Para esta compra consolidada,para esta compra consolidada,MISC
Oficina de las Naciones Unidas de Servicios para Proyectos,oficina de las naciones unidas de servicios para proyectos,ORG
UNOPS,unops,LOC
Es importante resaltar,es importante resaltar,MISC
COMPRA,compra,ORG
La compra de medicamentos,la compra de medicamentos,MISC
Esto se tradujo en la reducción de precios de,esto se tradujo en la reducción de precios de,MISC
La propuesta presentada,la propuesta presentada,MISC
Esto,esto,MISC
Gobierno Federal,gobierno federal,LOC
Esto otorga la posibilidad de agregar,esto otorga la posibilidad de agregar,MISC
COMPRA DE MEDICAMENTOS Y MATERIAL DE CURACIÓN,compra de medicamentos y material de curación,MISC
El fallo de la licitación,el fallo de la licitación,MISC
Cabe señalar que las claves,cabe señalar que las claves,MISC
COMPRA DE MEDICAMENTOS,compra de medicamentos,MISC
VIRUS,virus,MISC
HEPATITIS C,hepatitis c,MISC
Hepatitis C,hepatitis c,MISC
Es un padecimiento,es un padecimiento,MISC
COMPRA CONSOLIDADA DE MEDICAMENTOS Y MATERIAL DE CURACIÓN,compra consolidada de medicamentos y material de curación,MISC
SEGUNDO SEMESTRE DE 2019,segundo semestre de 2019,MISC
Millones de pesos,millones de pesos,MISC
Grupo Valor Máximo,grupo valor máximo,MISC
Adjudicado AhorroValor Compra Absoluto Porcen,adjudicado ahorrovalor compra absoluto porcen,MISC
"Antirretrovirales3,605","antirretrovirales3,605",LOC
Licitación,licitación,LOC
IMSS,imss,MISC
Compra: Se refiere al valor,compra: se refiere al valor,MISC
Los montos señalados,los montos señalados,MISC
Para el caso de los medicamentos antirretrovirales,para el caso de los medicamentos antirretrovirales,MISC
Secretaría de Salud,secretaría de salud,MISC
CENSIDA,censida,ORG
Fuente,fuente,LOC
Oficialía Mayor,oficialía mayor,LOC
Secretaría de Hacienda,secretaría de hacienda,MISC
Crédito Público,crédito público,ORG
En este sentido,en este sentido,MISC
Agentes Antivirales Directos,agentes antivirales directos,ORG
AAD’s,aad’s,MISC
Esto cambió la perspectiva de manejo de la Hepatitis C,esto cambió la perspectiva de manejo de la hepatitis c,MISC
Organización Mundial de la Salud,organización mundial de la salud,ORG
En virtud de lo anterior,en virtud de lo anterior,MISC
Cabe señalar que esto propició,cabe señalar que esto propició,MISC
Diagnóstico con carga viral,diagnóstico con carga viral,MISC
Al menos 750 mil,al menos 750 mil,MISC
Análisis adicionales,análisis adicionales,MISC
Medicamento de rescate,medicamento de rescate,MISC
Plataforma,plataforma,LOC
VEHÍCULOS,vehículos,ORG
SERVIDORES,servidores,ORG
Ejecutivo Federal,ejecutivo federal,ORG
Memorándum,memorándum,MISC
Medidas,medidas,MISC
Titular,titular,ORG
Ejecutivo Federal,ejecutivo federal,ORG
Secretarios,secretarios,ORG
Subsecretarios,subsecretarios,MISC
En este sentido,en este sentido,MISC
Oficialía Mayor,oficialía mayor,LOC
SHCP,shcp,LOC
Administración,administración,LOC
Finanzas,finanzas,LOC
Administración Pública Federal,administración pública federal,ORG
Secretarios de Estado,secretarios de estado,ORG
Subsecretarios,subsecretarios,MISC
COORDINACIÓN DE UNIDADES DE,coordinación de unidades de,ORG
FINANZAS,finanzas,ORG
Ley Orgánica de la Administración Pública Federal,ley orgánica de la administración pública federal,MISC
Oficialías Mayores,oficialías mayores,ORG
Unidades de Administración,unidades de administración,ORG
Finanzas1/,finanzas1/,MISC
